ID_Venta,Producto,Cantidad,Precio,Total
101,Teclado,3,30,90
102,Teclado,2,30,60
103,Monitor,2,200,400
104,Impresora,2,150,300
105,Cargador,2,25,50
106,Impresora,1,150,150
107,Teclado,1,30,30
108,Monitor,3,200,600
109,Impresora,1,150,150
110,Impresora,1,150,150
111,Monitor,1,200,200
112,Teclado,1,30,30
113,Teclado,3,30,90
114,Cargador,2,25,50
115,Teclado,1,30,30
116,Mouse,2,15,30
117,Mouse,1,15,15
118,Mouse,1,15,15
119,Laptop,1,800,800
120,Teclado,2,30,60
121,Cargador,1,25,25
122,Laptop,3,800,2400
123,Laptop,1,800,800
124,Mouse,2,15,30
125,Cargador,3,25,75
126,Laptop,3,800,2400
127,Laptop,2,800,1600
128,Laptop,2,800,1600
129,Impresora,2,150,300
130,Laptop,3,800,2400
131,Mouse,3,15,45
132,Laptop,2,800,1600
133,Teclado,1,30,30
134,Laptop,3,800,2400
135,Mouse,3,15,45
136,Laptop,2,800,1600
137,Cargador,2,25,50
138,Impresora,2,150,300
139,Cargador,3,25,75
140,Teclado,1,30,30
141,Teclado,1,30,30
142,Impresora,3,150,450
143,Impresora,1,150,150
144,Laptop,3,800,2400
145,Mouse,3,15,45
146,Impresora,2,150,300
147,Cargador,3,25,75
148,Mouse,3,15,45
149,Monitor,3,200,600
150,Cargador,2,25,50
151,Cargador,1,25,25
152,Monitor,2,200,400
153,Cargador,1,25,25
154,Monitor,1,200,200
155,Mouse,1,15,15
156,Teclado,1,30,30
157,Mouse,3,15,45
158,Monitor,1,200,200
159,Laptop,1,800,800
160,Mouse,1,15,15
161,Cargador,1,25,25
162,Impresora,2,150,300
163,Laptop,3,800,2400
164,Monitor,3,200,600
165,Teclado,3,30,90
166,Laptop,1,800,800
167,Monitor,1,200,200
168,Teclado,3,30,90
169,Teclado,1,30,30
170,Monitor,3,200,600
171,Impresora,3,150,450
172,Mouse,3,15,45
173,Cargador,1,25,25
174,Teclado,1,30,30
175,Mouse,3,15,45
176,Cargador,2,25,50
177,Mouse,2,15,30
178,Laptop,1,800,800
179,Cargador,2,25,50
180,Monitor,2,200,400
181,Mouse,1,15,15
182,Monitor,2,200,400
183,Cargador,3,25,75
184,Impresora,2,150,300
185,Cargador,2,25,50
186,Monitor,3,200,600
187,Mouse,1,15,15
188,Impresora,3,150,450
189,Monitor,1,200,200
190,Cargador,2,25,50
191,Laptop,1,800,800
192,Impresora,2,150,300
193,Cargador,3,25,75
194,Impresora,1,150,150
195,Teclado,3,30,90
196,Monitor,2,200,400
197,Laptop,1,800,800
198,Cargador,1,25,25
199,Cargador,3,25,75
200,Mouse,1,15,15
