ID_Venta,Producto,Cantidad,Precio,Total
103,Monitor,2,200,400
104,Impresora,2,150,300
106,Impresora,1,150,150
108,Monitor,3,200,600
109,Impresora,1,150,150
110,Impresora,1,150,150
111,Monitor,1,200,200
119,Laptop,1,800,800
122,Laptop,3,800,2400
123,Laptop,1,800,800
126,Laptop,3,800,2400
127,Laptop,2,800,1600
128,Laptop,2,800,1600
129,Impresora,2,150,300
130,Laptop,3,800,2400
132,Laptop,2,800,1600
134,Laptop,3,800,2400
136,Laptop,2,800,1600
138,Impresora,2,150,300
142,Impresora,3,150,450
143,Impresora,1,150,150
144,Laptop,3,800,2400
146,Impresora,2,150,300
149,Monitor,3,200,600
152,Monitor,2,200,400
154,Monitor,1,200,200
158,Monitor,1,200,200
159,Laptop,1,800,800
162,Impresora,2,150,300
163,Laptop,3,800,2400
164,Monitor,3,200,600
166,Laptop,1,800,800
167,Monitor,1,200,200
170,Monitor,3,200,600
171,Impresora,3,150,450
178,Laptop,1,800,800
180,Monitor,2,200,400
182,Monitor,2,200,400
184,Impresora,2,150,300
186,Monitor,3,200,600
188,Impresora,3,150,450
189,Monitor,1,200,200
191,Laptop,1,800,800
192,Impresora,2,150,300
194,Impresora,1,150,150
196,Monitor,2,200,400
197,Laptop,1,800,800
