Empresa_LE,Especie_LE,Código Centro_LE,Periodo Información_1er Semestre 2023,Periodo Información_1er Semestre 2024,Periodo Información_2do Semestre 2023,Periodo Información_nan,ciclo_dias,Toneladas Cosechadas
26,4,15,1.0,0.0,0.0,0.0,303.0,3172132.0
26,4,20,1.0,0.0,0.0,0.0,336.0,2551875.0
34,4,27,1.0,0.0,0.0,0.0,305.0,3958815.0
9,4,31,1.0,0.0,0.0,0.0,303.0,4101942.0
9,6,35,1.0,0.0,0.0,0.0,305.0,2849434.0
26,4,43,1.0,0.0,0.0,0.0,336.0,3098251.0
33,4,60,1.0,0.0,0.0,0.0,305.0,1972344.0
16,5,97,1.0,0.0,0.0,0.0,455.0,6242285.0
29,4,104,1.0,0.0,0.0,0.0,305.0,3390778.0
26,4,107,1.0,0.0,0.0,0.0,275.0,186084.0
12,5,117,1.0,0.0,0.0,0.0,487.0,3838668.0
10,4,123,1.0,0.0,0.0,0.0,90.0,2069.0
15,5,128,1.0,0.0,0.0,0.0,546.0,3934462.0
34,5,133,1.0,0.0,0.0,0.0,453.0,5009333.0
10,5,135,1.0,0.0,0.0,0.0,455.0,4454992.0
17,5,144,1.0,0.0,0.0,0.0,425.0,3764171.0
35,5,147,1.0,0.0,0.0,0.0,453.0,4863614.0
35,4,149,1.0,0.0,0.0,0.0,275.0,5687652.0
10,5,150,1.0,0.0,0.0,0.0,517.0,570782.0
25,6,152,1.0,0.0,0.0,0.0,364.0,3798473.0
10,5,160,1.0,0.0,0.0,0.0,90.0,11055.0
25,6,163,1.0,0.0,0.0,0.0,364.0,4914243.0
11,5,190,1.0,0.0,0.0,0.0,515.0,3132336.0
11,5,192,1.0,0.0,0.0,0.0,545.0,2284246.0
6,4,193,1.0,0.0,0.0,0.0,333.0,4020318.0
5,5,204,1.0,0.0,0.0,0.0,455.0,3987844.0
21,4,206,1.0,0.0,0.0,0.0,122.0,1461.0
24,4,214,1.0,0.0,0.0,0.0,149.0,23338.0
24,4,215,1.0,0.0,0.0,0.0,181.0,46304.0
24,4,222,1.0,0.0,0.0,0.0,181.0,47885.0
11,5,227,1.0,0.0,0.0,0.0,517.0,4942565.0
6,4,251,1.0,0.0,0.0,0.0,244.0,2788061.0
6,4,252,1.0,0.0,0.0,0.0,149.0,4519.0
5,5,263,1.0,0.0,0.0,0.0,425.0,324428.0
13,5,269,1.0,0.0,0.0,0.0,484.0,3682379.0
5,5,275,1.0,0.0,0.0,0.0,425.0,3467533.0
17,5,279,1.0,0.0,0.0,0.0,425.0,484979.0
