Código Centro,Empresa,Especie,Toneladas Cosechadas,Mes Inicio Ciclo,Mes Fin Ciclo,Periodo Información,ciclo_dias,Empresa_LE,Especie_LE,Código Centro_LE,Periodo Información_1er Semestre 2023,Periodo Información_1er Semestre 2024,Periodo Información_2do Semestre 2023,Periodo Información_nan,Ton_scaled_standard,Ton_scaled_minmax,Ton_scaled_robust,Ton_log1p,Ton_sqrt,Ton_yeojohnson,Ton_norm_l2
100331,SALMONES AYSEN S.A.,SALMON COHO,3172132.0,2022-05-01,2023-02-28,1er Semestre 2023,303.0,26,4,15,1.0,0.0,0.0,0.0,0.06246775403753312,0.2512990891225087,-0.04729979878640336,14.969914790239956,1781.048006090796,5912.262678114254,1.0
100397,SALMONES AYSEN S.A.,SALMON COHO,2551875.0,2022-03-01,2023-01-31,1er Semestre 2023,336.0,26,4,20,1.0,0.0,0.0,0.0,-0.2435442046095286,0.20216158226294262,-0.29210980626185556,14.752339332924624,1597.4589196595948,5257.970065330026,1.0
100469,"TORNAGALEONES S.A., GRANJA MARINA",SALMON COHO,3958815.0,2022-04-01,2023-01-31,1er Semestre 2023,305.0,34,4,27,1.0,0.0,0.0,0.0,0.4505881713231848,0.31362106422122427,0.2631970938094257,15.191455548625282,1989.6771094828428,6662.16991871294,1.0
100580,CALETA BAY MAR SpA,SALMON COHO,4101942.0,2022-05-01,2023-02-28,1er Semestre 2023,303.0,9,4,31,1.0,0.0,0.0,0.0,0.5212017615047998,0.3249597576084639,0.3196880676153465,15.226971321857263,2025.3251590794007,6790.936481260942,1.0
100602,CALETA BAY MAR SpA,TRUCHA ARCOIRIS,2849434.0,2022-04-01,2023-01-31,1er Semestre 2023,305.0,9,6,35,1.0,0.0,0.0,0.0,-0.09673955362927196,0.22573456475830442,-0.17466587412664694,14.862631286977539,1688.0266585572633,5580.052835173582,1.0
100960,SALMONES AYSEN S.A.,SALMON COHO,3098251.0,2022-03-01,2023-01-31,1er Semestre 2023,336.0,26,4,43,1.0,0.0,0.0,0.0,0.026017589804314366,0.24544614728663808,-0.07645998264937287,14.946348639452612,1760.1849334657993,5837.633832053222,1.0
101531,SAYSEN I SPA,SALMON COHO,1972344.0,2022-04-01,2023-01-31,1er Semestre 2023,305.0,33,4,60,1.0,0.0,0.0,0.0,-0.5294634548665839,0.15625043819228934,-0.5208456180983302,14.494733748132937,1404.4016519500396,4576.236656132004,1.0
102125,MOWI CHILE S.A.,SALMON DEL ATLANTICO,6242285.0,2022-04-01,2023-06-30,1er Semestre 2023,455.0,16,5,97,1.0,0.0,0.0,0.0,1.5771681651189922,0.49452030887080234,1.1644627107552574,15.646857019411089,2498.456523536081,8515.664187632787,1.0
102186,SALMONES CAMANCHACA S.A.,SALMON COHO,3390778.0,2022-04-01,2023-01-31,1er Semestre 2023,305.0,29,4,104,1.0,0.0,0.0,0.0,0.17033963732195467,0.268620488679171,0.03899786314160022,15.036570246468473,1841.4065276304416,6128.550157081705,1.0
102305,SALMONES AYSEN S.A.,SALMON COHO,186084.0,2022-05-01,2023-01-31,1er Semestre 2023,275.0,26,4,107,1.0,0.0,0.0,0.0,-1.410738347778555,0.014740768808520209,-1.225866801177443,12.133958837554866,431.37454723244855,1281.0600406527722,1.0
102582,CULTIVOS YADRAN S.A.,SALMON DEL ATLANTICO,3838668.0,2021-10-01,2023-01-31,1er Semestre 2023,487.0,12,5,117,1.0,0.0,0.0,0.0,0.39131206674787405,0.30410287412154574,0.2157761248108442,15.160636249895857,1959.251898046803,6552.410745835103,1.0
102850,CERMAQ CHILE S.A.,SALMON COHO,2069.0,2023-04-01,2023-06-30,1er Semestre 2023,90.0,10,4,123,1.0,0.0,0.0,0.0,-1.5015245711834324,0.00016287879718127784,-1.2984959106040117,7.635303886259415,45.48626166217664,111.74701837829343,1.0
102956,INVERMAR S.A.,SALMON DEL ATLANTICO,3934462.0,2021-10-01,2023-03-31,1er Semestre 2023,546.0,15,5,128,1.0,0.0,0.0,0.0,0.43857329808687806,0.3116917902193976,0.2535851779228663,15.185284962922616,1983.5478315382263,6640.0479430591595,1.0
103327,"TORNAGALEONES S.A., GRANJA MARINA",SALMON DEL ATLANTICO,5009333.0,2022-02-01,2023-04-30,1er Semestre 2023,453.0,34,5,133,1.0,0.0,0.0,0.0,0.9688750601031486,0.39684436590278144,0.6778273509981347,15.426813530092787,2238.153926788772,7563.283330688842,1.0
