y_real,y_pred
Adelie,Adelie
Gentoo,Gentoo
Chinstrap,Chinstrap
Adelie,Adelie
Adelie,Adelie
Gentoo,Gentoo
Gentoo,Gentoo
Gentoo,Gentoo
Adelie,Adelie
Gentoo,Gentoo
Adelie,Adelie
Gentoo,Gentoo
Adelie,Adelie
Gentoo,Gentoo
Chinstrap,Chinstrap
Gentoo,Gentoo
Adelie,Adelie
Chinstrap,Chinstrap
Adelie,Adelie
Chinstrap,Chinstrap
Chinstrap,Chinstrap
Adelie,Adelie
Chinstrap,Chinstrap
Gentoo,Gentoo
Adelie,Adelie
Gentoo,Gentoo
Gentoo,Gentoo
Chinstrap,Chinstrap
Adelie,Adelie
Adelie,Adelie
Gentoo,Gentoo
Adelie,Adelie
Adelie,Adelie
Gentoo,Gentoo
Chinstrap,Chinstrap
Adelie,Adelie
Adelie,Adelie
Adelie,Adelie
Adelie,Adelie
Gentoo,Gentoo
Chinstrap,Chinstrap
Chinstrap,Chinstrap
Adelie,Adelie
Adelie,Adelie
Adelie,Adelie
Adelie,Adelie
Gentoo,Gentoo
Gentoo,Gentoo
Adelie,Adelie
Adelie,Adelie
Gentoo,Gentoo
Adelie,Adelie
Adelie,Adelie
Chinstrap,Chinstrap
Chinstrap,Chinstrap
Gentoo,Gentoo
Adelie,Adelie
Gentoo,Gentoo
Chinstrap,Chinstrap
Adelie,Adelie
Adelie,Adelie
Gentoo,Gentoo
Gentoo,Gentoo
Adelie,Adelie
Gentoo,Gentoo
Gentoo,Gentoo
Adelie,Adelie
Adelie,Adelie
Adelie,Adelie
Adelie,Adelie
Gentoo,Gentoo
Chinstrap,Chinstrap
Adelie,Adelie
Gentoo,Gentoo
Adelie,Adelie
Chinstrap,Chinstrap
Gentoo,Gentoo
Adelie,Adelie
Chinstrap,Chinstrap
Gentoo,Gentoo
Adelie,Adelie
Gentoo,Gentoo
Gentoo,Gentoo
Adelie,Adelie
Gentoo,Gentoo
Chinstrap,Chinstrap
Gentoo,Gentoo
Adelie,Adelie
Gentoo,Gentoo
Adelie,Adelie
Gentoo,Gentoo
Gentoo,Gentoo
Chinstrap,Chinstrap
Adelie,Adelie
Chinstrap,Chinstrap
Adelie,Adelie
Chinstrap,Chinstrap
Adelie,Adelie
Gentoo,Gentoo
Gentoo,Gentoo
Gentoo,Gentoo
Chinstrap,Chinstrap
Adelie,Adelie
